# github-id	  name			     affiliation			      			cleared/problem paper-dir	                 comment
-		 "Sukyoung Ryu"		     "Korea Advanced Institute of Science and Technology"	cleared		oopsla12/StricklandTFF12	 ""
ricci	    	 "Rob Ricci" 		     "University of Utah"		      			problem		pldi12/JinSSSL12	         ""
mgaudet		 "Matthew Gaudet"	     "University of Alberta"					cleared		taco9/PopC13			 ""
ricci	    	 "Rob Ricci" 		     "University of Utah"					cleared		osdi12/renzelmann2012symdrive	 ""
ricci	    	 "Rob Ricci" 		     "University of Utah"					cleared		osdi12/wolinsky2012dissent	 ""
ricci	    	 "Rob Ricci" 		     "University of Utah"					cleared		osdi12/belay2012dune		 ""
ricci	    	 "Rob Ricci" 		     "University of Utah"					cleared		osdi12/wang2012improving	 ""
garytwong	 "Gary Wong"		     "University of Utah"					cleared		vldb12new/SatuluriP12		 ""
ricci	    	 "Rob Ricci" 		     "University of Utah"					cleared		ccs12/GroefDNP12		 ""
ercoppa		 "Emilio Coppa"		     "Sapienza University of Rome"				cleared		ccs12/HolzerFKV12		 ""
Blaisorblade	 "Paolo Giarrusso"	     "University of Marburg" 					cleared		pldi12/CoppaDF12		 ""
arjunguha	 "Arjun Guha"		     "University of Massachusetts"				cleared		pldi12/Turon12			 ""
Blaisorblade	 "Paolo Giarrusso"	     "University of Marburg" 					cleared		pldi12/OliveiraSCLY12		 ""
ckennelly	 "Chris Kennelly"	     ""		    						cleared		pldi12/RegehrCCEEY12		 ""
ricci	    	 "Rob Ricci" 		     "University of Utah"					cleared		oopsla12/ChughHJ12		 ""
arjunguha	 "Arjun Guha"		     "University of Massachusetts"				cleared		oopsla12/Tobin-HochstadtH12	 ""
samth		 "Sam Tobin-Hochstadt"	     "Indiana University"					cleared		oopsla12/BarowyCBM12		 ""
samth		 "Sam Tobin-Hochstadt"	     "Indiana University"					cleared		oopsla12/ParizekL12		 ""
samth		 "Sam Tobin-Hochstadt"	     "Indiana University"					cleared		oopsla12/KangR12		 ""
mgaudet		 "Matthew Gaudet"	     "University of Alberta"					cleared		oopsla12/LiuSLG12		 ""
pbailis		 "Peter Bailis"		     "University of California Berkeley"			cleared		sosp11/PopaRZB11		 ""
pbailis		 "Peter Bailis"		     "University of California Berkeley"			cleared		sosp11/OngaroRSOR11		 ""
pbailis		 "Peter Bailis"		     "University of California Berkeley"			cleared		tocs30/FerdmanAKVAJKPAF12	 ""
pbailis		 "Peter Bailis"		     "University of California Berkeley"			cleared		sigmod12/FengKRR12		 ""
ercoppa		 "Emilio Coppa"		     "Sapienza University of Rome"				cleared		sigmod12/GanFFN12		 ""
