Group	Authors	Title	Practical	Article/Google	Email Sent	Email Reply	Build Results	Database Entry	Build Notes
TISSEC'15	Martin Abadi, Gordon D. Plotkin	On Protection by Layout Randomization	Theoretical	-	-	-	-	data/tissec15_AbadiP12_data.txt	-
TISSEC'15	David A. Basin, Samuel J. Burri, Gunter Karjoth	Dynamic enforcement of abstract separation of duty constraints	Practical	-	Email sent	Replied no	-	data/tissec15_BasinBK12_data.txt	-
TISSEC'15	Karthikeyan Bhargavan, Cedric Fournet, Ricardo Corin, Eugen Zalinescu	Verified Cryptographic Implementations for TLS	Practical	-	Email sent	Replied yes	Build fails	data/tissec15_BhargavanFCZ12_data.txt	data/tissec15_BhargavanFCZ12_build.txt
TISSEC'15	Michael Brennan, Sadia Afroz, Rachel Greenstadt	Adversarial stylometry: Circumventing authorship recognition to preserve privacy and anonymity	Theoretical	-	-	-	-	data/tissec15_BrennanAG12_data.txt	-
TISSEC'15	Jan Camenisch, Thomas Gross	Efficient Attributes for Anonymous Credentials	Practical	Link from paper	Not sent	-	Builds	data/tissec15_CamenischG12_data.txt	data/tissec15_CamenischG12_build.txt
TISSEC'15	Boris Danev, Srdjan Capkun, Ramya Jayaram Masti, Thomas S. Benjamin	Towards Practical Identification of HF RFID Devices	Theoretical	-	-	-	-	data/tissec15_DanevCMB12_data.txt	-
TISSEC'15	Norman Danner, Sam DeFabbia-Kane, Danny Krizanc, Marc Liberatore	Effectiveness and detection of denial-of-service attacks in tor	Practical	Link from paper	Not sent	-	Builds	data/tissec15_DannerDKL12_data.txt	data/tissec15_DannerDKL12_build.txt
TISSEC'15	Joan Feigenbaum, Aaron Johnson, Paul F. Syverson	Probabilistic analysis of onion routing in a black-box model	Theoretical	-	-	-	-	data/tissec15_FeigenbaumJS12_data.txt	-
TISSEC'15	Yossi Gilad, Amir Herzberg	LOT: A Defense Against IP Spoofing and Flooding Attacks	Practical	Link from paper	Not sent	-	Build fails	data/tissec15_GiladH12_data.txt	data/tissec15_GiladH12_build.txt
TISSEC'15	Raphael Khoury, Nadia Tawbi	Corrective Enforcement: A New Paradigm of Security Policy Enforcement by Monitors	Theoretical	-	-	-	-	data/tissec15_KhouryT12_data.txt	-
TISSEC'15	Prateek Mittal, Nikita Borisov	Information Leaks in Structured Peer-to-Peer Anonymous Communication Systems	Theoretical	-	-	-	-	data/tissec15_MittalB12_data.txt	-
TISSEC'15	Ryan Roemer, Erik Buchanan, Hovav Shacham, Stefan Savage	Return-Oriented Programming: Systems, Languages, and Applications	Practical	-	Email sent	Replied no	-	data/tissec15_RoemerBSS12_data.txt	-
TISSEC'15	Attila Altay Yavuz, Peng Ning, Michael K. Reiter	BAF and FI-BAF: Efficient and Publicly Verifiable Cryptographic Schemes for Secure Logging in Resource-Constrained Systems	Theoretical	-	-	-	-	data/tissec15_YavuzNR12_data.txt	-
TACO'9	Pablo Abad, Jose-Angel Gregorio, Valentin Puente	LIGERO: A light but efficient router conceived for cache-coherent chip multiprocessors	Hardware	-	-	-	-	data/taco9_AbadPG13_data.txt	-
TACO'9	Zahra Abbasi, Georgios Varsamopoulos, Sandeep K.S. Gupta	TACOMA: Server and workload management in internet data centers considering cooling-computing power trade-off and energy proportionality	Practical	-	Email sent	Replied no	-	data/taco9_AbbasiVG12_data.txt	-
TACO'9	Jung Ho Ahn, Norman P. Jouppi, Christos Kozyrakis, Jacob Leverich, Robers S. Schreiber	Improving System Energy Efficiency with Memory Rank Subsetting	Hardware	-	-	-	-	data/taco9_AhnJKLS12_data.txt	-
TACO'9	Jorge Alberticio, Pablo Ibanez, Victor Vinals, Jose Maria Llaberia	Exploiting reuse locality on inclusive shared last-level caches	Practical	-	Email sent	Replied no	-	data/taco9_AlbericioIVL13_data.txt	-
TACO'9	Diego Andrade, Basilio B. Fraguela, Ramon Doallo	Static analysis of the worst-case memory performance for irregular codes with indirections	Practical	-	Email sent	Replied no	-	data/taco9_AndradeFD12_data.txt	-
TACO'9	Samuel Antao, Leonel Sousa	The CRNS framework and its application to programmable and reconfigurable cryptography	Practical	-	Email sent	Replied no	-	data/taco9_AntaoS13_data.txt	-
TACO'9	Riyadh Baghdadi, Albert Cohen, Sven Verdoolaege, Konrad Trifunovic	Improved loop tiling based on the removal of spurious false dependences	Practical	-	Email sent	Replied yes	Build fails	data/taco9_BaghdadiCVT13_data.txt	data/taco9_BaghdadiCVT13_build.txt
TACO'9	Mehmet E. Belviranli, Laxmi N. Bhuyan, Rajiv Gupta	A dynamic self-scheduling scheme for heterogeneous multiprocessor architectures	Practical	-	Email sent	No response	-	data/taco9_BelviranliBG13_data.txt	-
TACO'9	Lieven Eeckhout, Kristof Du Bois, Stijn Eyerman	Per-thread cycle accounting in multicore processors	Practical	-	Not sent	-	-	data/taco9_BoisEE13_data.txt	-
TACO'9	Yang Chen, Shuangde Fang, Yuanjie Huang, Lieven Eeckhout, Grigori Fursin, Olivier Temam, Chengyong Wu	Deconstructing iterative optimization	Theoretical	-	-	-	-	data/taco9_ChenFHEFTW12_data.txt	-
TACO'9	Doris Chen, Deshanand Singh	Profile-guided floating- to fixed-point conversion for hybrid FPGA-processor applications	Practical	-	Email sent	Replied no	-	data/taco9_ChenS13_data.txt	-
TACO'9	Grigorios Chrysos, Panagiotis Dagritzikos, Ioannis Papaefstathiou, Apostolos Dollas	HC-CART: A parallel system implementation of data mining classification and regression tree (CART) algorithm on a multi-FPGA system	Practical	-	Email sent	Replied no	-	data/taco9_ChrysosDPD13_data.txt	-
TACO'9	David Gregg, Jimmy Cleary, Owen Callanan, Mark Purcell	Fast asymmetric thread synchronization	Practical	-	Email sent	No response	-	data/taco9_ClearyCPG13_data.txt	-
